,strategy,benchmark
2024-06-07 00:00:00+00:00,775913.8846977513,232336.5385939624
2024-06-10 00:00:00+00:00,787179.3834008559,233054.40534367977
2024-06-11 00:00:00+00:00,787031.2068062321,233615.65207502435
2024-06-12 00:00:00+00:00,795192.748522129,235534.33593234932
2024-06-13 00:00:00+00:00,802646.8911342918,236008.64123611728
2024-06-14 00:00:00+00:00,811105.2604652504,236152.1982231823
2024-06-17 00:00:00+00:00,811541.8961921365,238031.74752951215
2024-06-18 00:00:00+00:00,818511.1985492472,238636.46497464503
2024-06-20 00:00:00+00:00,812081.0158328634,237988.19500133154
2024-06-21 00:00:00+00:00,808032.8903592988,237669.14614273093
2024-06-24 00:00:00+00:00,793416.3717691185,236896.62737894096
2024-06-25 00:00:00+00:00,811771.0991068806,237808.8578533567
2024-06-26 00:00:00+00:00,815625.7650856603,238105.62592578097
2024-06-27 00:00:00+00:00,811237.7189006091,238480.9903577648
2024-06-28 00:00:00+00:00,804703.6854898249,237542.57927780526
2024-07-01 00:00:00+00:00,806668.2110360615,238031.47481487106
2024-07-02 00:00:00+00:00,808780.6450263845,239633.3188021882
2024-07-03 00:00:00+00:00,822478.3844375612,240702.7147242589
2024-07-05 00:00:00+00:00,831339.8657788836,242090.75043296858
2024-07-08 00:00:00+00:00,834189.7118108718,242370.0647683637
2024-07-09 00:00:00+00:00,842097.3828562716,242605.77203264995
2024-07-10 00:00:00+00:00,858266.9532655169,245006.42447515726
2024-07-11 00:00:00+00:00,827079.553202649,242893.81323655962
2024-07-12 00:00:00+00:00,833990.251926587,244425.89681868826
2024-07-15 00:00:00+00:00,839306.9848228103,245098.11113748868
2024-07-16 00:00:00+00:00,831354.7195748625,246551.57108859366
2024-07-17 00:00:00+00:00,801843.196364494,243094.61302678753
2024-07-18 00:00:00+00:00,797865.8980034427,241226.46319245486
2024-07-19 00:00:00+00:00,791166.4348539835,239624.59193367363
2024-07-22 00:00:00+00:00,809145.0123100363,242095.08659576176
2024-07-23 00:00:00+00:00,808447.0834271704,241715.38600098478
2024-07-24 00:00:00+00:00,768640.9556463218,236237.50336291242
2024-07-25 00:00:00+00:00,755074.111163912,235006.6058303936
2024-07-26 00:00:00+00:00,756950.4914701587,237638.629374394
2024-07-29 00:00:00+00:00,756866.01980977,237778.25927062743
2024-07-30 00:00:00+00:00,744297.603819045,236573.56961511646
2024-07-31 00:00:00+00:00,777660.2720767423,240418.9824116783
2024-08-01 00:00:00+00:00,754399.0720084016,237014.4128324238
2024-08-02 00:00:00+00:00,759466.5823482922,232601.58995362898
2024-08-05 00:00:00+00:00,702892.4568943853,225827.3991763745
2024-08-06 00:00:00+00:00,700377.7691912629,227909.43910370697
2024-08-07 00:00:00+00:00,699661.73824353,226386.06875436087
2024-08-08 00:00:00+00:00,706365.479217789,231619.5445310965
2024-08-09 00:00:00+00:00,707790.444727317,232640.83359048053
2024-08-12 00:00:00+00:00,719207.1779674056,232763.11883554122
2024-08-13 00:00:00+00:00,742941.0124622162,236591.02335214565
2024-08-14 00:00:00+00:00,750043.9289713958,237337.4433247842
2024-08-15 00:00:00+00:00,763957.3317702762,241405.4458113963
2024-08-16 00:00:00+00:00,768434.5886198881,241946.72983101374
2024-08-19 00:00:00+00:00,779826.2677564375,244260.05904544695
2024-08-20 00:00:00+00:00,775695.2435006143,243862.85017071254
2024-08-21 00:00:00+00:00,777002.0154354337,244700.87499129018
2024-08-22 00:00:00+00:00,765370.480351569,242780.36394586996
2024-08-23 00:00:00+00:00,782142.1992038698,245359.9990073187
2024-08-26 00:00:00+00:00,778370.0254094134,244775.10791659242
2024-08-27 00:00:00+00:00,783405.2805740631,245111.20144026057
2024-08-28 00:00:00+00:00,776032.5608937108,243688.28552895665
